prefilter_rank	prefilter_score	donor_im	target_im	donor_domain	target_domain	cosine	primitive_jaccard	source_concept_jaccard	donor_primitive	target_primitive	donor_sources	target_sources	donor_shell	target_shell	donor_role	donor_guarantee	screen_reason
810	4.909173279953995	IM-206	IM-280	M	S	0.005256077543859694	0.0	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	UNCERTAINTY WIDTH ITSELF CAN BE A FEEDBACK CONTROL VARIABLE USED TO RESTORE A COVERAGE TARGET	M-125; M-126	S-390	M-125: Regularity assumptions; M-126: Summability structure	S-390:Online feedback	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
811	4.908833336420772	IM-206	IM-238	M	E	0.005219612382849091	0.0	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	FUTURE VERIFICATION CAN RETROACTIVELY CHANGE AN EARLIER PAYOFF, SO DELAYED INFORMATION CREATES PRESENT INCENTIVES	M-125; M-126	E-336	M-125: Regularity assumptions; M-126: Summability structure	E-336:Verifiable later information	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
812	4.908740388366561	IM-208	IM-292	M	P	0.046010680896605705	0.11764705882352941	0.0	A NON-MARKOV OBSERVED PROCESS CAN BECOME MARKOV AFTER ADDING THE RIGHT MEMORY VARIABLE	ELIMINATING HIDDEN DYNAMIC VARIABLES CAN TURN A MARKOV/LOCAL SYSTEM INTO MEMORY + COLORED NOISE	M-121; M-122	P-105; P-106; P-107	M-121: Markovization; M-122: Duration dependence	P-105:Projection formalism | P-106:Chosen relevant subspace | P-107:Exact projected dynamics	passive inference/diagnostic	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
813	4.908644579261638	IM-123	IM-157	S	M	0.06337599292805922	0.0	0.0	GUARANTEE RELATIVE TO DATA-GENERATING SYMMETRY; WHEN SYMMETRY BREAKS GUARANTEE MAY NOT TRAVEL	A SYSTEM CAN LOOK STATIONARY ONLY BECAUSE YOU CONDITIONED ON NOT YET HAVING FAILED	S-090; S-148; S-998	M-148	S-090:Exchangeability | S-148:Exchangeability under null | S-998:Distribution shift	M-148:Absorbing dynamics	mechanism/structural	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
814	4.908439907919126	IM-225	IM-365	M	E	0.005177390289444583	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	AN UNPRICED EXTERNAL EFFECT CAN BE INTERNALIZED BY ADDING ITS MARGINAL SOCIAL COST TO THE PRIVATE DECISION	M-311; M-313	E-049; E-201	M-311:Martingale difference structure | M-313:Martingale variance process	E-049:External cost/benefit measurable | E-201:Externality measurement	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
815	4.908380882237288	IM-181	IM-094	M	E	0.005171053926731967	0.0	0.0	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	LIMITED INFORMATION CAPACITY SHOULD BE SPENT ON DISTINCTIONS THAT CAN CHANGE DECISION	M-431; M-432	E-100; E-458	M-431: PDE boundary access; M-432: Elliptic PDE	E-100:Information-processing constraint | E-458:Information cost	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
816	4.9083475132187	IM-325	IM-093	M	E	0.00957300914073375	0.0	0.05263157894736842	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	COSTLY INFORMATION + FREE COPYING FROM OUTPUT → PERFECT REVELATION CAN DESTROY INCENTIVE TO CREATE INFO	M-866; M-867; M-869; M-874; M-880	E-456; E-457	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	E-456:Informational markets | E-457:Costly information	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
817	4.908327337070372	IM-162	IM-277	M	P	0.07370864958487239	0.06666666666666667	0.0	SMOOTH RESPONSE WITHIN ONE ACTIVE-CONSTRAINT REGIME; KINK/JUMP WHEN THE ACTIVE SET CHANGES	THE SAME INPUT CAN PRODUCE AN IMMEDIATE RESPONSE AND A SLOWER INTERNAL-STATE RESPONSE ON DIFFERENT CLOCKS	M-525; M-530	P-529; P-530	M-525: Differentiable constrained optimization; M-530: Convex geometry	P-529:Rate dependence | P-530:Internal interface state	mechanism/structural	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
818	4.907801691499131	IM-227	IM-210	M	S	0.04760567010528591	0.13333333333333333	0.0	ORDINARY CLOCK TIME AND ACCUMULATED CONTACT/VISIT TIME AT A BOUNDARY ARE DIFFERENT STATE VARIABLES	FUTURE DATA CAN CHANGE YOUR BEST ESTIMATE OF THE PAST; ONLINE AND OFFLINE STATE ESTIMATES ARE DIFFERENT	M-317	S-106; S-107	M-317:Continuous semimartingale	S-106: Offline/two-sided information; S-107: Delay/latency tradeoff	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
819	4.90756048879385	IM-206	IM-296	M	E	0.005082935931365728	0.0	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	TRANSFER/CLIP THE DOWNSIDE AND AN AGENT MAY RATIONALLY SEEK MORE VARIANCE	M-125; M-126	E-710	M-125: Regularity assumptions; M-126: Summability structure	E-710:Limited liability	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
820	4.907399383115057	IM-250	IM-107	M	S	0.04039406096861213	0.06666666666666667	0.0	LOCAL SAFE-DIRECTION CONDITIONS AT EVERY BOUNDARY POINT CAN CERTIFY GLOBAL VIABILITY	WHEN DATA DO NOT POINT-IDENTIFY, CORRECT ANSWER MAY BE LARGE/DISCONNECTED/UNBOUNDED SET	M-289; M-290	S-131; S-136; S-447	M-289:Tangency conditions | M-290:Closed constraint set	S-131:Weak assumptions | S-136:Partial identification | S-447:Weak/nonidentification	mechanism/structural	certificate/exact;bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
821	4.907207371242962	IM-203	IM-003	M	P	0.06327199675090713	0.0	0.0	PAIRWISE DEPENDENCE CAN VANISH IN A LARGE POPULATION WHILE COLLECTIVE MEAN-FIELD INTERACTION REMAINS	OUTPUT RESHAPES ITS GENERATOR	M-151; M-152	P-793; P-794; P-795; P-806; P-807; P-880; P-860	M-151: Weak symmetric interaction; M-152: Mean-field scaling	P-793:Nonlinear MHD | P-794:Nonlinear feedback | P-795:Mean-field dynamo | P-806:Saturating laser | P-807:Finite excited population | P-880:Coupled degradation | P-860:Dynamic catalyst surface	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
822	4.906980315956524	IM-249	IM-054	M	S	0.00502056417849003	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	FREEZE NUISANCE INFORMATION → MOVE ONLY INSIDE REMAINING FIBER	M-655	S-770; S-771	M-655:Potential equivalence	S-770:Conditional inference | S-771:Exponential-family structure	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
823	4.906640031416749	IM-325	IM-040	M	E;P;S	0.026116104665400243	0.058823529411764705	0.047619047619047616	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	MEASUREMENT POLICY CAN CHANGE THE PROCESS BEING MEASURED	M-866; M-867; M-869; M-874; M-880	E-782; E-786; P-242; S-977	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	E-782:Credible audits | E-786:Endogenous response | P-242:System-bath spectrum | S-977:Sequential diagnostics	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
824	4.9065757095067895	IM-181	IM-191	M	S	0.004977039385533206	0.0	0.0	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	LATENT COMPONENT NAMES MAY BE PURE SYMMETRY; A NAMED HIDDEN CLASS IS NOT AUTOMATICALLY AN IDENTIFIED ENTITY	M-431; M-432	S-269; S-270	M-431: PDE boundary access; M-432: Elliptic PDE	S-269: Structural conditions; S-270: Symmetry	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
825	4.9062405817865455	IM-328	IM-383	M	P	0.03875409493260484	0.05263157894736842	0.0	LOCAL AVERAGING/ELLIPTIC CONSTRAINTS CAN FORCE GLOBAL EXTREMES TO THE BOUNDARY	A SYSTEM CAN ENTER A LESS-STABLE INTERMEDIATE FIRST BECAUSE ITS ACCESS BARRIER IS LOWER THAN THE DIRECT PATH TO THE GLOBAL BEST STATE	M-028; M-641; M-642	P-357	M-028:PDE/order structure | M-641:Laplace-type equilibrium | M-642:Harmonic domain	P-357:Competing kinetic barriers	mechanism/structural	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
826	4.906170503830722	IM-325	IM-009	M	E;P	0.028614707879428512	0.0	0.0	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	CONDITIONAL PERMEABILITY	M-866; M-867; M-869; M-874; M-880	P-554; P-555; P-869; P-887; P-888; P-541; E-947; E-960	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	P-554:Periodic medium | P-555:Band structure | P-869:Mixed ionic/electronic transport | P-887:Charged membrane | P-888:Charged porous phase | P-541:Bounded transverse geometry | E-947:Contractual scope | E-960:Regulatory intervention	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
827	4.904799670146556	IM-311	IM-315	S	M	0.014958484158369076	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	AN APPROXIMATE TRAJECTORY CAN CORRESPOND TO A NEARBY TRUE TRAJECTORY	S-174	M-697	S-174:Rare/weak regime	M-697:Hyperbolic regime	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
828	4.904627384305838	IM-181	IM-092	M	E	0.004767135560888976	0.0	0.0	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	ACTION CAN CHANGE MACHINE THAT GENERATES FUTURE PREFERENCES/INCENTIVES	M-431; M-432	E-020; E-394; E-395	M-431: PDE boundary access; M-432: Elliptic PDE	E-020:Experience accumulation | E-394:Consumption memory | E-395:Habit stock dynamics	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
829	4.90456442525041	IM-311	IM-240	S	E	0.0047603438683069725	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	A RAW SCORE/RANKING MAY BE UNIMPLEMENTABLE; FLATTEN NONMONOTONE REGIONS UNTIL DECISION RULE SATISFIES INCENTIVES	S-174	E-349	S-174:Rare/weak regime	E-349:Incentive compatibility	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
830	4.904496723483168	IM-216	IM-365	M	E	0.044562604914893306	0.0	0.0	PROPAGATE FUTURE CONSEQUENCE BACKWARD TO PRICE TODAY’S LOCAL ACTION	AN UNPRICED EXTERNAL EFFECT CAN BE INTERNALIZED BY ADDING ITS MARGINAL SOCIAL COST TO THE PRIVATE DECISION	M-255	E-049; E-201	M-255: Quantity of interest	E-049:External cost/benefit measurable | E-201:Externality measurement	active control/decision	local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
831	4.904256740328158	IM-249	IM-334	M	S	0.004727144513867386	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	AN ACTION CAN HAVE TWO VALUES AT ONCE: CURRENT PAYOFF AND INFORMATION ABOUT FUTURE PAYOFFS	M-655	S-042; S-043; S-044	M-655:Potential equivalence	S-042:Reward feedback | S-043:Bayesian model | S-044:Concentration assumptions	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
832	4.904165297333754	IM-196	IM-008	M	E	0.004717275233759149	0.0	0.0	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	EXPOSURE ≠ AUTHORITY ≠ INFORMATION ≠ LIQUIDITY	M-279; M-280	E-945; E-946; E-947; E-948; E-949; E-950; E-951; E-952; E-953; E-954; E-955; E-956; E-957; E-958; E-959; E-960; E-774; E-775; E-749; E-750	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	E-945:Rival licensees excluded | E-946:Multiple licensees | E-947:Contractual scope | E-948:Territorial restriction | E-949:Delegated licensing | E-950:Commercialization discipline | E-951:Verifiable development event | E-952:Inventor moral hazard | E-953:Startup licensee | E-954:Strategic acquisition | E-955:Dormant license | E-956:Performance contingency | E-957:Follow-on innovation | E-958:Multiple essential patents | E-959:Fragmented IP rights | E-960:Regulatory intervention | E-774:Incomplete contracts | E-775:Verifiable performance | E-749:Multiple voting classes | E-750:Disproportionate rights	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
833	4.903766899850448	IM-359	IM-190	E	S	0.04730043418428691	0.13333333333333333	0.0	CONTROL THE INFORMATION STRUCTURE RATHER THAN THE STATE TO CHANGE ANOTHER DECISION-MAKER'S ACTION	WHEN YOU CHOOSE TO LOOK CAN ITSELF REVEAL INFORMATION ABOUT THE HIDDEN STATE	E-401	S-874; S-875	E-401:Sender commitment to information structure	S-874: Irregular follow-up; S-875: Inspection process	information/measurement control	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
834	4.903467997853435	IM-265	IM-190	M	S	0.04121003071131539	0.07692307692307693	0.0	WHEN THE PROCESS ITSELF IS UNCONTROLLABLE, TIMING OF EXIT CAN STILL BE THE CONTROL VARIABLE	WHEN YOU CHOOSE TO LOOK CAN ITSELF REVEAL INFORMATION ABOUT THE HIDDEN STATE	M-341; M-343	S-874; S-875	M-341:Stochastic process + stopping rule | M-343:Markov optimal stopping	S-874: Irregular follow-up; S-875: Inspection process	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
835	4.903291296540617	IM-196	IM-400	M	P	0.02836958359098618	0.0	0.0	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	AN INVASION ADVANCES THROUGH THE CURRENTLY ACCESSIBLE FRONTIER BY SELECTING ITS LOWEST ENTRY BARRIER	M-279; M-280	P-486;P-487	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	see canonical 4000-record inventory	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
836	4.902906032746337	IM-325	IM-341	M	S	0.014775902489687347	0.0	0.0	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	WHEN THE THEORETICAL NULL IS CONTAMINATED, THE BULK OF THE DATA CAN BE USED TO RE-ESTIMATE THE NULL BASELINE	M-866; M-867; M-869; M-874; M-880	S-175	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	S-175:Many-tests structure	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
837	4.902518741705777	IM-225	IM-364	M	E	0.004539366013314457	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	DECENTRALIZATION TRADES A LOCAL INFORMATION ADVANTAGE AGAINST OBJECTIVE MISALIGNMENT	M-311; M-313	E-231; E-232	M-311:Martingale difference structure | M-313:Martingale variance process	E-231:Information distribution | E-232:Misaligned incentives	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
838	4.902106950397831	IM-325	IM-140	M	P	0.004494813012357505	0.0	0.0	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	A CONSERVED/ACCUMULATING BURDEN CAN SELF-QUENCH GROWTH UNLESS A BOUNDARY EXPORT CHANNEL REMOVES IT	M-866; M-867; M-869; M-874; M-880	P-796; P-798	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	P-796:High conductivity | P-798:Open boundaries	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
839	4.902033092223999	IM-225	IM-351	M	E	0.01469161916955496	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	EARLY EXIT CAN BECOME SELF-FULFILLING WHEN CLAIMS ARE LIQUID BUT THE ASSET BASE IS NOT	M-311; M-313	E-022; E-096	M-311:Martingale difference structure | M-313:Martingale variance process	E-022:Strategic complementarity + liquidity transformation | E-096:Sequential withdrawal/liquidity	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
840	4.9018457065819305	IM-328	IM-286	M	P	0.039498583356349926	0.0625	0.0	LOCAL AVERAGING/ELLIPTIC CONSTRAINTS CAN FORCE GLOBAL EXTREMES TO THE BOUNDARY	A LOCAL DEFECT CAN CREATE AN ALLOWED LOCALIZED STATE INSIDE A BULK-FORBIDDEN REGIME	M-028; M-641; M-642	P-556	M-028:PDE/order structure | M-641:Laplace-type equilibrium | M-642:Harmonic domain	P-556:Periodic structure + defect	mechanism/structural	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
841	4.901719423624632	IM-265	IM-088	M	P	0.032432044395242145	0.0	0.0	WHEN THE PROCESS ITSELF IS UNCONTROLLABLE, TIMING OF EXIT CAN STILL BE THE CONTROL VARIABLE	BOUNDARY IS NOT FIXED; STATE INCLUDES WHERE BOUNDARY IS	M-341; M-343	P-355	M-341:Stochastic process + stopping rule | M-343:Markov optimal stopping	P-355:Moving phase boundary	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
842	4.901341880218807	IM-149	IM-180	P	M	0.0324008476867068	0.0	0.0	RETURN CONTROL PARAMETERS TO THEIR STARTING VALUES AND STILL ACCUMULATE A NET EFFECT	UNIQUE RECOVERY CAN HAVE A GEOMETRIC/TIME COVERAGE THRESHOLD, NOT JUST NOISE OR SAMPLE-SIZE THRESHOLD	P-079; P-331; P-332; P-334; P-335	M-433; M-434	P-079:Adiabatic/cyclic geometry | P-331:Gap + cyclic path | P-332:Adiabatic topology | P-334:Periodic stochastic driving | P-335:Adiabatic cyclic control	M-433: PDE/control geometry; M-434: Measurement geometry	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
843	4.900812983845736	IM-086	IM-211	M	S	0.03235713267088764	0.0	0.0	DISCRETE OBSERVED STATES CAN BE CREATED BY OBSERVATION RULE, NOT DISCRETE REAL STATES	DON'T COMMIT TO ONE DYNAMICAL MODEL TOO EARLY; CARRY A MODEL BANK AND UPDATE MODEL PROBABILITIES	M-681; M-682; M-687; M-689; M-694	S-110	M-681:Partitioned state space | M-682:Dynamical partition | M-687:Hyperbolic dynamics | M-689:Many-to-one dynamics map | M-694:Measure dynamics	S-110: Finite model bank	passive inference/diagnostic	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
844	4.900715779592954	IM-338	IM-242	S	M	0.03234909690997896	0.0	0.0	SEQUENTIAL WEAK LEARNERS CAN BECOME STRONG BY TARGETING THE RESIDUAL LEFT BY EARLIER LEARNERS	SATISFY SEVERAL GLOBAL CONSTRAINT FAMILIES BY ALTERNATELY REPAIRING ONE AT A TIME	S-155	M-100; M-159	S-155:Additive learner	M-100:Set geometry/convergence conditions | M-159:Convex sets	mechanism/structural	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
845	4.900027412167207	IM-272	IM-219	S	P	0.03229217693882134	0.0	0.0	MANY TINY SAME-DIRECTION ERRORS CAN BECOME STRONG EVIDENCE THROUGH ACCUMULATION EVEN WHEN NO SINGLE OBSERVATION IS ABNORMAL	A SYSTEM’S ARROW OF TIME CAN BE VISIBLE IN FORWARD/REVERSE PATH PROBABILITIES EVEN WHEN MACRO STATE IS STATIONARY	S-333	P-121; P-124; P-125	S-333:Sequential change detection	P-121: Nonequilibrium drive; P-124: Stochastic thermodynamics; P-125: Nonequilibrium path probabilities	passive inference/diagnostic	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
846	4.898657553937686	IM-208	IM-237	M	S	0.047668246977359954	0.058823529411764705	0.14285714285714285	A NON-MARKOV OBSERVED PROCESS CAN BECOME MARKOV AFTER ADDING THE RIGHT MEMORY VARIABLE	A HUGE COUPLED ESTIMATION ALGORITHM CAN HAVE LOW-DIMENSIONAL ERROR DYNAMICS IN THE RIGHT RANDOM REGIME	M-121; M-122	S-913	M-121: Markovization; M-122: Duration dependence	S-913:AMP asymptotics	passive inference/diagnostic	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
847	4.898483611853887	IM-325	IM-364	M	E	0.00410176307904528	0.0	0.0	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	DECENTRALIZATION TRADES A LOCAL INFORMATION ADVANTAGE AGAINST OBJECTIVE MISALIGNMENT	M-866; M-867; M-869; M-874; M-880	E-231; E-232	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	E-231:Information distribution | E-232:Misaligned incentives	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
848	4.898388761732403	IM-181	IM-056	M	S	0.004091449023470271	0.0	0.0	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	CLUSTERING DOES NOT IDENTIFY THE INTERACTION THAT CREATED IT	M-431; M-432	S-602; S-603; S-608; S-612	M-431: PDE boundary access; M-432: Elliptic PDE	S-602:Spatially varying intensity | S-603:Latent intensity field | S-608:Interacting point pattern | S-612:Second-order spatial dependence	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
849	4.898256637130604	IM-249	IM-347	M	S	0.004077079585427239	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	ENVIRONMENT CHANGES CAN HELP IDENTIFY CAUSAL RELATIONS BY REVEALING WHICH CONDITIONAL LAWS STAY INVARIANT	M-655	S-235	M-655:Potential equivalence	S-235:Multiple environments	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
850	4.897878978924288	IM-206	IM-338	M	S	0.0040359930040563255	0.0	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	SEQUENTIAL WEAK LEARNERS CAN BECOME STRONG BY TARGETING THE RESIDUAL LEFT BY EARLIER LEARNERS	M-125; M-126	S-155	M-125: Regularity assumptions; M-126: Summability structure	S-155:Additive learner	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
851	4.897378483165512	IM-206	IM-092	M	E	0.003981511201495608	0.0	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	ACTION CAN CHANGE MACHINE THAT GENERATES FUTURE PREFERENCES/INCENTIVES	M-125; M-126	E-020; E-394; E-395	M-125: Regularity assumptions; M-126: Summability structure	E-020:Experience accumulation | E-394:Consumption memory | E-395:Habit stock dynamics	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
852	4.896934117213963	IM-311	IM-283	S	E	0.012468929332170932	0.058823529411764705	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	A TINY INFORMATION-ACQUISITION FRICTION CAN DESTROY SEARCH ENTIRELY THROUGH EQUILIBRIUM FEEDBACK	S-174	E-480	S-174:Rare/weak regime	E-480:Sequential price search	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
853	4.8966510763843925	IM-225	IM-361	M	E	0.0039022649953160096	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	VOLUNTARY VERIFIABLE DISCLOSURE CAN UNRAVEL RECURSIVELY FROM THE BEST TYPE DOWNWARD	M-311; M-313	E-410	M-311:Martingale difference structure | M-313:Martingale variance process	E-410:Ordered types + verifiable info	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
854	4.896565095380222	IM-325	IM-089	M	E	0.0315443038830543	0.0	0.05555555555555555	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	COMPLEMENTARY PARTS CANNOT GENERALLY SUBSTITUTE; PARTIAL SUCCESS MAY BE WORTHLESS	M-866; M-867; M-869; M-874; M-880	E-501; E-514	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	E-501:Near-zero substitution | E-514:Strong complementarity	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
